track_id,type,traveled_d,avg_speed,length,width
777,Car,304.49,32.240214,5,2
778,Car,243.87,32.04152,5,2
779,Taxi,102.76,11.142415,5,2
780,Car,387.62,43.336692,5,2
781,Taxi,54.33,6.229306,5,2
782,Car,368.68,42.539749,5,2
783,Car,128.15,14.882418,5,2
784,Car,44.2,22.097528,5,2
785,Car,364.01,43.974923,5,2
786,Car,339.75,42.1762,5,2
787,Bus,126.55,15.818897,12.5,4
788,Taxi,91.83,11.559104,5,2
789,Car,362.66,45.970412,5,2
790,Car,35.05,4.539204,5,2
791,Taxi,124.12,16.672592,5,2
792,Taxi,111.37,15.419962,5,2
793,Taxi,351.32,49.021309,5,2
794,Car,28.44,4.196572,5,2
795,Car,81.78,12.912158,5,2
796,Car,100.1,16.998516,5,2
797,Car,91.38,16.783962,5,2
798,Car,73.49,15.562946,5,2
799,Motorcycle,78.29,23.487983,2.5,1
800,Car,66.53,28.512712,5,2
801,Taxi,21.61,18.523925,5,2
802,Car,2.98,10.719867,5,2
